account_id,company_name,segment,country_code,crm_company_id,billing_customer_id,created_at
acct_0001,Northstar Customer 0001,SMB,FR,hs_100001,cus_bench_100001,2026-03-04T00:00:00+00:00
acct_0002,Northstar Customer 0002,Mid-market,DE,hs_100002,cus_bench_100002,2026-03-05T00:00:00+00:00
acct_0003,Northstar Customer 0003,Enterprise,GB,hs_100003,cus_bench_100003,2026-03-06T00:00:00+00:00
acct_0004,Northstar Customer 0004,SMB,US,hs_100004,cus_bench_100004,2026-03-07T00:00:00+00:00
acct_0005,Northstar Customer 0005,Mid-market,ES,hs_100005,cus_bench_100005,2026-03-08T00:00:00+00:00
acct_0006,Northstar Customer 0006,Enterprise,FR,hs_100006,cus_bench_100006,2026-03-09T00:00:00+00:00
acct_0007,Northstar Customer 0007,SMB,DE,hs_100007,cus_bench_100007,2026-03-10T00:00:00+00:00
acct_0008,Northstar Customer 0008,Mid-market,GB,hs_100008,cus_bench_100008,2026-03-11T00:00:00+00:00
acct_0009,Northstar Customer 0009,Enterprise,US,hs_100009,cus_bench_100009,2026-03-12T00:00:00+00:00
acct_0010,Northstar Customer 0010,SMB,ES,hs_100010,cus_bench_100010,2026-03-13T00:00:00+00:00
acct_0011,Northstar Customer 0011,Mid-market,FR,hs_100011,cus_bench_100011,2026-03-14T00:00:00+00:00
acct_0012,Northstar Customer 0012,Enterprise,DE,hs_100012,cus_bench_100012,2026-03-15T00:00:00+00:00
acct_0013,Northstar Customer 0013,SMB,GB,hs_100013,cus_bench_100013,2026-03-16T00:00:00+00:00
acct_0014,Northstar Customer 0014,Mid-market,US,hs_100014,cus_bench_100014,2026-03-17T00:00:00+00:00
acct_0015,Northstar Customer 0015,Enterprise,ES,hs_100015,cus_bench_100015,2026-03-18T00:00:00+00:00
acct_0016,Northstar Customer 0016,SMB,FR,hs_100016,cus_bench_100016,2026-03-19T00:00:00+00:00
acct_0017,Northstar Customer 0017,Mid-market,DE,hs_100017,cus_bench_100017,2026-03-20T00:00:00+00:00
acct_0018,Northstar Customer 0018,Enterprise,GB,hs_100018,cus_bench_100018,2026-03-21T00:00:00+00:00
acct_0019,Northstar Customer 0019,SMB,US,hs_100019,cus_bench_100019,2026-03-22T00:00:00+00:00
acct_0020,Northstar Customer 0020,Mid-market,ES,hs_100020,cus_bench_100020,2026-03-23T00:00:00+00:00
acct_0021,Northstar Customer 0021,Enterprise,FR,hs_100021,cus_bench_100021,2026-03-24T00:00:00+00:00
acct_0022,Northstar Customer 0022,SMB,DE,hs_100022,cus_bench_100022,2026-03-25T00:00:00+00:00
acct_0023,Northstar Customer 0023,Mid-market,GB,hs_100023,cus_bench_100023,2026-03-26T00:00:00+00:00
acct_0024,Northstar Customer 0024,Enterprise,US,hs_100024,cus_bench_100024,2026-03-27T00:00:00+00:00
acct_0025,Northstar Customer 0025,SMB,ES,hs_100025,cus_bench_100025,2026-03-28T00:00:00+00:00
acct_0026,Northstar Customer 0026,Mid-market,FR,hs_100026,cus_bench_100026,2026-03-29T00:00:00+00:00
acct_0027,Northstar Customer 0027,Enterprise,DE,hs_100027,cus_bench_100027,2026-03-30T00:00:00+00:00
acct_0028,Northstar Customer 0028,SMB,GB,hs_100028,cus_bench_100028,2026-03-31T00:00:00+00:00
acct_0029,Northstar Customer 0029,Mid-market,US,hs_100029,cus_bench_100029,2026-04-01T00:00:00+00:00
acct_0030,Northstar Customer 0030,Enterprise,ES,hs_100030,cus_bench_100030,2026-04-02T00:00:00+00:00
acct_0031,Northstar Customer 0031,SMB,FR,hs_100031,cus_bench_100031,2026-04-03T00:00:00+00:00
acct_0032,Northstar Customer 0032,Mid-market,DE,hs_100032,cus_bench_100032,2026-04-04T00:00:00+00:00
acct_0033,Northstar Customer 0033,Enterprise,GB,hs_100033,cus_bench_100033,2026-04-05T00:00:00+00:00
acct_0034,Northstar Customer 0034,SMB,US,hs_100034,cus_bench_100034,2026-04-06T00:00:00+00:00
acct_0035,Northstar Customer 0035,Mid-market,ES,hs_100035,cus_bench_100035,2026-04-07T00:00:00+00:00
acct_0036,Northstar Customer 0036,Enterprise,FR,hs_100036,cus_bench_100036,2026-04-08T00:00:00+00:00
acct_0037,Northstar Customer 0037,SMB,DE,hs_100037,cus_bench_100037,2026-04-09T00:00:00+00:00
acct_0038,Northstar Customer 0038,Mid-market,GB,hs_100038,cus_bench_100038,2026-04-10T00:00:00+00:00
acct_0039,Northstar Customer 0039,Enterprise,US,hs_100039,cus_bench_100039,2026-04-11T00:00:00+00:00
acct_0040,Northstar Customer 0040,SMB,ES,hs_100040,cus_bench_100040,2026-04-12T00:00:00+00:00
acct_0041,Northstar Customer 0041,Mid-market,FR,hs_100041,cus_bench_100041,2026-04-13T00:00:00+00:00
acct_0042,Northstar Customer 0042,Enterprise,DE,hs_100042,cus_bench_100042,2026-04-14T00:00:00+00:00
acct_0043,Northstar Customer 0043,SMB,GB,hs_100043,cus_bench_100043,2026-04-15T00:00:00+00:00
acct_0044,Northstar Customer 0044,Mid-market,US,hs_100044,cus_bench_100044,2026-04-16T00:00:00+00:00
acct_0045,Northstar Customer 0045,Enterprise,ES,hs_100045,cus_bench_100045,2026-04-17T00:00:00+00:00
acct_0046,Northstar Customer 0046,SMB,FR,hs_100046,cus_bench_100046,2026-04-18T00:00:00+00:00
acct_0047,Northstar Customer 0047,Mid-market,DE,hs_100047,cus_bench_100047,2026-04-19T00:00:00+00:00
acct_0048,Northstar Customer 0048,Enterprise,GB,hs_100048,cus_bench_100048,2026-04-20T00:00:00+00:00
acct_0049,Northstar Customer 0049,SMB,US,hs_100049,cus_bench_100049,2026-04-21T00:00:00+00:00
acct_0050,Northstar Customer 0050,Mid-market,ES,hs_100050,cus_bench_100050,2026-04-22T00:00:00+00:00
acct_0051,Northstar Customer 0051,Enterprise,FR,hs_100051,cus_bench_100051,2026-04-23T00:00:00+00:00
acct_0052,Northstar Customer 0052,SMB,DE,hs_100052,cus_bench_100052,2026-04-24T00:00:00+00:00
acct_0053,Northstar Customer 0053,Mid-market,GB,hs_100053,cus_bench_100053,2026-04-25T00:00:00+00:00
acct_0054,Northstar Customer 0054,Enterprise,US,hs_100054,cus_bench_100054,2026-04-26T00:00:00+00:00
acct_0055,Northstar Customer 0055,SMB,ES,hs_100055,cus_bench_100055,2026-04-27T00:00:00+00:00
acct_0056,Northstar Customer 0056,Mid-market,FR,hs_100056,cus_bench_100056,2026-04-28T00:00:00+00:00
acct_0057,Northstar Customer 0057,Enterprise,DE,hs_100057,cus_bench_100057,2026-04-29T00:00:00+00:00
acct_0058,Northstar Customer 0058,SMB,GB,hs_100058,cus_bench_100058,2026-04-30T00:00:00+00:00
acct_0059,Northstar Customer 0059,Mid-market,US,hs_100059,cus_bench_100059,2026-05-01T00:00:00+00:00
