deal_id,crm_company_id,account_id,stage,amount_cents,expected_mrr_cents,closed_at
deal_0001,hs_100001,acct_0001,closedwon,358800,29900,2026-06-02T00:00:00+00:00
deal_0002,hs_100002,acct_0002,closedwon,598800,49900,2026-06-03T00:00:00+00:00
deal_0003,hs_100003,acct_0003,closedwon,1078800,89900,2026-06-04T00:00:00+00:00
deal_0004,hs_100004,acct_0004,closedwon,358800,29900,2026-06-05T00:00:00+00:00
deal_0005,hs_100005,acct_0005,closedwon,598800,49900,2026-06-06T00:00:00+00:00
deal_0006,hs_100006,acct_0006,closedwon,1078800,89900,2026-06-07T00:00:00+00:00
deal_0007,hs_100007,acct_0007,closedwon,358800,29900,2026-06-08T00:00:00+00:00
deal_0008,hs_100008,acct_0008,closedwon,598800,49900,2026-06-09T00:00:00+00:00
deal_0009,hs_100009,acct_0009,closedwon,1078800,89900,2026-06-10T00:00:00+00:00
deal_0010,hs_100010,acct_0010,closedwon,358800,29900,2026-06-11T00:00:00+00:00
deal_0011,hs_100011,acct_0011,closedwon,598800,49900,2026-06-12T00:00:00+00:00
deal_0012,hs_100012,acct_0012,closedwon,1078800,89900,2026-06-13T00:00:00+00:00
deal_0013,hs_100013,acct_0013,closedwon,358800,29900,2026-06-14T00:00:00+00:00
deal_0014,hs_100014,acct_0014,closedwon,598800,49900,2026-06-15T00:00:00+00:00
deal_0015,hs_100015,acct_0015,closedwon,1078800,89900,2026-06-16T00:00:00+00:00
deal_0016,hs_100016,acct_0016,closedwon,358800,29900,2026-06-17T00:00:00+00:00
deal_0017,hs_100017,acct_0017,closedwon,598800,49900,2026-06-18T00:00:00+00:00
deal_0018,hs_100018,acct_0018,closedwon,1078800,89900,2026-06-19T00:00:00+00:00
deal_0019,hs_100019,acct_0019,closedwon,358800,29900,2026-06-20T00:00:00+00:00
deal_0020,hs_100020,acct_0020,closedwon,598800,49900,2026-06-01T00:00:00+00:00
deal_0021,hs_100021,acct_0021,closedwon,1078800,89900,2026-06-02T00:00:00+00:00
deal_0022,hs_100022,acct_0022,closedwon,358800,29900,2026-06-03T00:00:00+00:00
deal_0023,hs_100023,acct_0023,closedwon,598800,49900,2026-06-04T00:00:00+00:00
deal_0024,hs_100024,acct_0024,closedwon,1078800,89900,2026-06-05T00:00:00+00:00
deal_0025,hs_100025,acct_0025,closedwon,358800,29900,2026-06-06T00:00:00+00:00
deal_0026,hs_100026,acct_0026,closedwon,598800,49900,2026-06-07T00:00:00+00:00
deal_0027,hs_100027,acct_0027,closedwon,1078800,89900,2026-06-08T00:00:00+00:00
deal_0028,hs_100028,acct_0028,closedwon,358800,29900,2026-06-09T00:00:00+00:00
deal_0029,hs_100029,acct_0029,closedwon,598800,49900,2026-06-10T00:00:00+00:00
deal_0030,hs_100030,acct_0030,closedwon,1078800,89900,2026-06-11T00:00:00+00:00
deal_0031,hs_100031,acct_0031,closedwon,358800,29900,2026-06-12T00:00:00+00:00
deal_0032,hs_100032,acct_0032,closedwon,598800,49900,2026-06-13T00:00:00+00:00
deal_0033,hs_100033,acct_0033,closedwon,1078800,89900,2026-06-14T00:00:00+00:00
deal_0034,hs_100034,acct_0034,closedwon,358800,29900,2026-06-15T00:00:00+00:00
deal_0035,hs_100035,acct_0035,closedwon,598800,49900,2026-06-16T00:00:00+00:00
deal_0036,hs_100036,acct_0036,closedwon,1078800,89900,2026-06-17T00:00:00+00:00
deal_0037,hs_100037,acct_0037,closedwon,358800,29900,2026-06-18T00:00:00+00:00
deal_0038,hs_100038,acct_0038,closedwon,598800,49900,2026-06-19T00:00:00+00:00
deal_0039,hs_100039,acct_0039,closedwon,1078800,89900,2026-06-20T00:00:00+00:00
deal_0040,hs_100040,acct_0040,closedwon,358800,29900,2026-06-01T00:00:00+00:00
deal_0041,hs_100041,acct_0041,closedwon,598800,49900,2026-06-02T00:00:00+00:00
deal_0042,hs_100042,acct_0042,closedwon,1078800,89900,2026-06-03T00:00:00+00:00
deal_0043,hs_100043,acct_0043,closedwon,358800,29900,2026-06-04T00:00:00+00:00
deal_0044,hs_100044,acct_0044,closedwon,598800,49900,2026-06-05T00:00:00+00:00
deal_0045,hs_100045,acct_0045,closedwon,1078800,89900,2026-06-06T00:00:00+00:00
deal_0046,hs_100046,acct_0046,closedwon,358800,29900,2026-06-07T00:00:00+00:00
deal_0047,hs_100047,acct_0047,closedwon,598800,49900,2026-06-08T00:00:00+00:00
deal_0048,hs_100048,acct_0048,closedwon,1078800,89900,2026-06-09T00:00:00+00:00
deal_0049,hs_100049,acct_0049,closedwon,358800,29900,2026-06-10T00:00:00+00:00
deal_0050,hs_100050,acct_0050,closedwon,598800,49900,2026-06-11T00:00:00+00:00
deal_0051,hs_100051,acct_0051,closedwon,1078800,89900,2026-06-12T00:00:00+00:00
deal_0052,hs_100052,acct_0052,closedwon,358800,29900,2026-06-13T00:00:00+00:00
deal_0053,hs_100053,acct_0053,closedwon,598800,49900,2026-06-14T00:00:00+00:00
deal_0054,hs_100054,acct_0054,closedwon,1078800,89900,2026-06-15T00:00:00+00:00
deal_0055,hs_100055,acct_0055,closedwon,358800,29900,2026-06-16T00:00:00+00:00
deal_0056,hs_100056,acct_0056,closedwon,598800,49900,2026-06-17T00:00:00+00:00
