invoice_id,billing_customer_id,account_id,period_start,amount_paid_cents,refunded_cents,status
in_bench_0001_07,cus_bench_100001,acct_0001,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0001_08,cus_bench_100001,acct_0001,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0002_07,cus_bench_100002,acct_0002,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0002_08,cus_bench_100002,acct_0002,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0003_07,cus_bench_100003,acct_0003,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0003_08,cus_bench_100003,acct_0003,2026-08-01T00:00:00+00:00,89900,0,paid
in_bench_0004_07,cus_bench_100004,acct_0004,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0004_08,cus_bench_100004,acct_0004,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0005_07,cus_bench_100005,acct_0005,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0005_08,cus_bench_100005,acct_0005,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0006_07,cus_bench_100006,acct_0006,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0006_08,cus_bench_100006,acct_0006,2026-08-01T00:00:00+00:00,89900,0,paid
in_bench_0007_07,cus_bench_100007,acct_0007,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0007_08,cus_bench_100007,acct_0007,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0008_07,cus_bench_100008,acct_0008,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0008_08,cus_bench_100008,acct_0008,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0009_07,cus_bench_100009,acct_0009,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0009_08,cus_bench_100009,acct_0009,2026-08-01T00:00:00+00:00,89900,0,paid
in_bench_0010_07,cus_bench_100010,acct_0010,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0010_08,cus_bench_100010,acct_0010,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0011_07,cus_bench_100011,acct_0011,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0011_08,cus_bench_100011,acct_0011,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0012_07,cus_bench_100012,acct_0012,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0012_08,cus_bench_100012,acct_0012,2026-08-01T00:00:00+00:00,89900,89900,paid
in_bench_0013_07,cus_bench_100013,acct_0013,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0013_08,cus_bench_100013,acct_0013,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0014_07,cus_bench_100014,acct_0014,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0014_08,cus_bench_100014,acct_0014,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0015_07,cus_bench_100015,acct_0015,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0015_08,cus_bench_100015,acct_0015,2026-08-01T00:00:00+00:00,89900,0,paid
in_bench_0016_07,cus_bench_100016,acct_0016,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0016_08,cus_bench_100016,acct_0016,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0017_07,cus_bench_100017,acct_0017,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0017_08,cus_bench_100017,acct_0017,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0018_07,cus_bench_100018,acct_0018,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0018_08,cus_bench_100018,acct_0018,2026-08-01T00:00:00+00:00,89900,0,paid
in_bench_0019_07,cus_bench_100019,acct_0019,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0019_08,cus_bench_100019,acct_0019,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0020_07,cus_bench_100020,acct_0020,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0020_08,cus_bench_100020,acct_0020,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0021_07,cus_bench_100021,acct_0021,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0021_08,cus_bench_100021,acct_0021,2026-08-01T00:00:00+00:00,89900,0,paid
in_bench_0022_07,cus_bench_100022,acct_0022,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0022_08,cus_bench_100022,acct_0022,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0023_07,cus_bench_100023,acct_0023,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0023_08,cus_bench_100023,acct_0023,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0024_07,cus_bench_100024,acct_0024,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0024_08,cus_bench_100024,acct_0024,2026-08-01T00:00:00+00:00,89900,89900,paid
in_bench_0025_07,cus_bench_100025,acct_0025,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0025_08,cus_bench_100025,acct_0025,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0026_07,cus_bench_100026,acct_0026,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0026_08,cus_bench_100026,acct_0026,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0027_07,cus_bench_100027,acct_0027,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0027_08,cus_bench_100027,acct_0027,2026-08-01T00:00:00+00:00,89900,0,paid
in_bench_0028_07,cus_bench_100028,acct_0028,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0028_08,cus_bench_100028,acct_0028,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0029_07,cus_bench_100029,acct_0029,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0029_08,cus_bench_100029,acct_0029,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0030_07,cus_bench_100030,acct_0030,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0030_08,cus_bench_100030,acct_0030,2026-08-01T00:00:00+00:00,89900,0,paid
in_bench_0031_07,cus_bench_100031,acct_0031,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0031_08,cus_bench_100031,acct_0031,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0032_07,cus_bench_100032,acct_0032,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0032_08,cus_bench_100032,acct_0032,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0033_07,cus_bench_100033,acct_0033,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0033_08,cus_bench_100033,acct_0033,2026-08-01T00:00:00+00:00,89900,0,paid
in_bench_0034_07,cus_bench_100034,acct_0034,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0034_08,cus_bench_100034,acct_0034,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0035_07,cus_bench_100035,acct_0035,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0035_08,cus_bench_100035,acct_0035,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0036_07,cus_bench_100036,acct_0036,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0036_08,cus_bench_100036,acct_0036,2026-08-01T00:00:00+00:00,89900,89900,paid
in_bench_0037_07,cus_bench_100037,acct_0037,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0037_08,cus_bench_100037,acct_0037,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0038_07,cus_bench_100038,acct_0038,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0038_08,cus_bench_100038,acct_0038,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0039_07,cus_bench_100039,acct_0039,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0039_08,cus_bench_100039,acct_0039,2026-08-01T00:00:00+00:00,89900,0,paid
in_bench_0040_07,cus_bench_100040,acct_0040,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0040_08,cus_bench_100040,acct_0040,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0041_07,cus_bench_100041,acct_0041,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0041_08,cus_bench_100041,acct_0041,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0042_07,cus_bench_100042,acct_0042,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0042_08,cus_bench_100042,acct_0042,2026-08-01T00:00:00+00:00,89900,0,paid
in_bench_0043_07,cus_bench_100043,acct_0043,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0043_08,cus_bench_100043,acct_0043,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0044_07,cus_bench_100044,acct_0044,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0044_08,cus_bench_100044,acct_0044,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0045_07,cus_bench_100045,acct_0045,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0045_08,cus_bench_100045,acct_0045,2026-08-01T00:00:00+00:00,89900,0,paid
in_bench_0046_07,cus_bench_100046,acct_0046,2026-07-01T00:00:00+00:00,29900,0,paid
in_bench_0046_08,cus_bench_100046,acct_0046,2026-08-01T00:00:00+00:00,29900,0,paid
in_bench_0047_07,cus_bench_100047,acct_0047,2026-07-01T00:00:00+00:00,49900,0,paid
in_bench_0047_08,cus_bench_100047,acct_0047,2026-08-01T00:00:00+00:00,49900,0,paid
in_bench_0048_07,cus_bench_100048,acct_0048,2026-07-01T00:00:00+00:00,89900,0,paid
in_bench_0048_08,cus_bench_100048,acct_0048,2026-08-01T00:00:00+00:00,89900,89900,paid
