event_id,account_id,event_name,feature,occurred_at,received_at,properties
evt_0001_00_00,acct_0001,session_started,dashboard,2026-07-01T01:00:00+00:00,2026-07-01T01:01:00+00:00,"{""user_id"":""usr_0001_00""}"
evt_0001_00_01,acct_0001,feature_used,alerts,2026-07-01T02:01:00+00:00,2026-07-01T02:03:00+00:00,"{""user_id"":""usr_0001_01""}"
evt_0001_00_02,acct_0001,feature_used,reports,2026-07-01T03:02:00+00:00,2026-07-01T03:05:00+00:00,"{""user_id"":""usr_0001_02""}"
evt_0001_01_00,acct_0001,session_started,dashboard,2026-07-02T01:00:00+00:00,2026-07-02T01:01:00+00:00,"{""user_id"":""usr_0001_00""}"
evt_0001_01_01,acct_0001,feature_used,alerts,2026-07-02T02:01:00+00:00,2026-07-02T02:03:00+00:00,"{""user_id"":""usr_0001_01""}"
evt_0001_01_02,acct_0001,feature_used,reports,2026-07-02T03:02:00+00:00,2026-07-02T03:05:00+00:00,"{""user_id"":""usr_0001_02""}"
evt_0001_02_00,acct_0001,session_started,dashboard,2026-07-03T01:00:00+00:00,2026-07-03T01:01:00+00:00,"{""user_id"":""usr_0001_00""}"
evt_0001_02_01,acct_0001,feature_used,alerts,2026-07-03T02:01:00+00:00,2026-07-03T02:03:00+00:00,"{""user_id"":""usr_0001_01""}"
evt_0001_02_02,acct_0001,feature_used,reports,2026-07-03T03:02:00+00:00,2026-07-03T03:05:00+00:00,"{""user_id"":""usr_0001_02""}"
evt_0001_03_00,acct_0001,session_started,dashboard,2026-07-04T01:00:00+00:00,2026-07-04T01:01:00+00:00,"{""user_id"":""usr_0001_00""}"
evt_0001_03_01,acct_0001,feature_used,alerts,2026-07-04T02:01:00+00:00,2026-07-04T02:03:00+00:00,"{""user_id"":""usr_0001_01""}"
evt_0001_03_02,acct_0001,feature_used,reports,2026-07-04T03:02:00+00:00,2026-07-04T03:05:00+00:00,"{""user_id"":""usr_0001_02""}"
evt_0001_04_00,acct_0001,session_started,dashboard,2026-07-05T01:00:00+00:00,2026-07-05T01:01:00+00:00,"{""user_id"":""usr_0001_00""}"
evt_0001_04_01,acct_0001,feature_used,alerts,2026-07-05T02:01:00+00:00,2026-07-05T02:03:00+00:00,"{""user_id"":""usr_0001_01""}"
evt_0001_04_02,acct_0001,feature_used,reports,2026-07-05T03:02:00+00:00,2026-07-05T03:05:00+00:00,"{""user_id"":""usr_0001_02""}"
evt_0001_05_00,acct_0001,session_started,dashboard,2026-07-06T01:00:00+00:00,2026-07-06T01:01:00+00:00,"{""user_id"":""usr_0001_00""}"
evt_0001_05_01,acct_0001,feature_used,alerts,2026-07-06T02:01:00+00:00,2026-07-06T02:03:00+00:00,"{""user_id"":""usr_0001_01""}"
