subscription_id,billing_customer_id,account_id,plan,status,mrr_cents,started_at
sub_bench_100001,cus_bench_100001,acct_0001,starter,active,29900,2026-06-02T00:00:00+00:00
sub_bench_100002,cus_bench_100002,acct_0002,growth,active,49900,2026-06-03T00:00:00+00:00
sub_bench_100003,cus_bench_100003,acct_0003,scale,active,89900,2026-06-04T00:00:00+00:00
sub_bench_100004,cus_bench_100004,acct_0004,starter,active,29900,2026-06-05T00:00:00+00:00
sub_bench_100005,cus_bench_100005,acct_0005,growth,active,49900,2026-06-06T00:00:00+00:00
sub_bench_100006,cus_bench_100006,acct_0006,scale,active,89900,2026-06-07T00:00:00+00:00
sub_bench_100007,cus_bench_100007,acct_0007,starter,active,29900,2026-06-08T00:00:00+00:00
sub_bench_100008,cus_bench_100008,acct_0008,growth,active,49900,2026-06-09T00:00:00+00:00
sub_bench_100009,cus_bench_100009,acct_0009,scale,active,89900,2026-06-10T00:00:00+00:00
sub_bench_100010,cus_bench_100010,acct_0010,starter,active,29900,2026-06-11T00:00:00+00:00
sub_bench_100011,cus_bench_100011,acct_0011,growth,active,49900,2026-06-12T00:00:00+00:00
sub_bench_100012,cus_bench_100012,acct_0012,scale,active,89900,2026-06-13T00:00:00+00:00
sub_bench_100013,cus_bench_100013,acct_0013,starter,active,29900,2026-06-14T00:00:00+00:00
sub_bench_100014,cus_bench_100014,acct_0014,growth,active,49900,2026-06-15T00:00:00+00:00
sub_bench_100015,cus_bench_100015,acct_0015,scale,active,89900,2026-06-16T00:00:00+00:00
sub_bench_100016,cus_bench_100016,acct_0016,starter,active,29900,2026-06-17T00:00:00+00:00
sub_bench_100018,cus_bench_100018,acct_0018,scale,active,89900,2026-06-19T00:00:00+00:00
sub_bench_100019,cus_bench_100019,acct_0019,starter,active,29900,2026-06-20T00:00:00+00:00
sub_bench_100020,cus_bench_100020,acct_0020,growth,active,49900,2026-06-01T00:00:00+00:00
sub_bench_100021,cus_bench_100021,acct_0021,scale,active,89900,2026-06-02T00:00:00+00:00
sub_bench_100022,cus_bench_100022,acct_0022,starter,active,29900,2026-06-03T00:00:00+00:00
sub_bench_100023,cus_bench_100023,acct_0023,growth,active,49900,2026-06-04T00:00:00+00:00
sub_bench_100024,cus_bench_100024,acct_0024,scale,active,89900,2026-06-05T00:00:00+00:00
sub_bench_100025,cus_bench_100025,acct_0025,starter,active,29900,2026-06-06T00:00:00+00:00
sub_bench_100026,cus_bench_100026,acct_0026,growth,active,49900,2026-06-07T00:00:00+00:00
sub_bench_100027,cus_bench_100027,acct_0027,scale,active,89900,2026-06-08T00:00:00+00:00
sub_bench_100028,cus_bench_100028,acct_0028,starter,active,29900,2026-06-09T00:00:00+00:00
sub_bench_100029,cus_bench_100029,acct_0029,growth,active,49900,2026-06-10T00:00:00+00:00
sub_bench_100030,cus_bench_100030,acct_0030,scale,active,89900,2026-06-11T00:00:00+00:00
sub_bench_100031,cus_bench_100031,acct_0031,starter,active,29900,2026-06-12T00:00:00+00:00
sub_bench_100032,cus_bench_100032,acct_0032,growth,active,49900,2026-06-13T00:00:00+00:00
sub_bench_100033,cus_bench_100033,acct_0033,scale,active,89900,2026-06-14T00:00:00+00:00
sub_bench_100034,cus_bench_100034,acct_0034,starter,active,29900,2026-06-15T00:00:00+00:00
sub_bench_100035,cus_bench_100035,acct_0035,growth,active,49900,2026-06-16T00:00:00+00:00
sub_bench_100036,cus_bench_100036,acct_0036,scale,active,89900,2026-06-17T00:00:00+00:00
sub_bench_100037,cus_bench_100037,acct_0037,starter,active,29900,2026-06-18T00:00:00+00:00
sub_bench_100038,cus_bench_100038,acct_0038,growth,active,49900,2026-06-19T00:00:00+00:00
sub_bench_100039,cus_bench_100039,acct_0039,scale,active,89900,2026-06-20T00:00:00+00:00
